ء	ʔ
أريحا	ʔa a r iː ħ aː
أريزونا	ʔa a r iː z uː n aː
أريكا	ʔa a r iː k aː
أريكة	ʔa a r iː k a
أزأم	ʔa a z a ʔa a m
أزاح	ʔa a z aː ħ
أزادرخت	ʔa a z aː d a r a x a t
أزب	ʔa a z a b
أزدرخت	ʔa a z a d a r a x a t
أزرع	ʔa a z a r a ʕ
أزرق	ʔa a z a r a q
أزعج	ʔa a z a ʕ a d͡ʒ
أزعر	ʔa a z a ʕ a r
أزعل	ʔa a z a ʕ a l
أزل	ʔa a z a l
أزل	ʔa a z a l
أزلي	ʔa a z a l iː
أسارون	ʔa a s aː r uː n
أساس	ʔa a s aː s
أساسا	ʔa a s aː s aː
أساسي	ʔa a s aː s iː
أساسيا	ʔa a s aː s iː aː
أسامة	ʔa a s aː m a
أسباب	ʔa a s a b aː b
أسباط	ʔa a s a b aː tˤ
أسبوع	ʔa a s a b uː ʕ
أسبوعي	ʔa a s a b uː ʕ iː
أستاذ	ʔa a s a t aː ð
أستاذ	ʔa a s a t aː ð
أستاذ	ʔa a s a t aː ð
أستانا	ʔa a s a t aː n aː
أستجة	ʔa a s a t a d͡ʒ a
أسترالي	ʔa a s a t a r aː l iː
أستراليا	ʔa a s a t a r aː l iː aː
أسترقة	ʔa a s a t a r a q a
أستير	ʔa a s a t iː r
أسد	ʔa a s a d
أسرب	ʔa a s a r a b
أسرة	ʔa a s a r a
أسرة	ʔa a s a r a
أسري	ʔa a s a r iː
أسس	ʔa a s a s
أسطرك	ʔa a s a tˤ a r a k
أسطرلاب	ʔa a s a tˤ a r a l aː b
أسطمة	ʔa a s a tˤ a m a
أسطوانة	ʔa a s a tˤ uː aː n a
أسطوخودس	ʔa a s a tˤ uː x uː d a s
أسطوخودوس	ʔa a s a tˤ uː x uː d uː s
أسطورة	ʔa a s a tˤ uː r a
أسطوري	ʔa a s a tˤ uː r iː
أسطول	ʔa a s a tˤ uː l
أسف	ʔa a s a f
أسف	ʔa a s a f
أسفاراج	ʔa a s a f aː r aː d͡ʒ
أسفر	ʔa a s a f a r
أسفراج	ʔa a s a f a r aː d͡ʒ
أسفع	ʔa a s a f a ʕ
أسفلت	ʔa a s a f a l a t
أسفنيك	ʔa a s a f a n iː k
أسقف	ʔa a s a q a f
أسقف	ʔa a s a q a f
أسقف	ʔa a s a q a f
أسقف	ʔa a s a q a f
أسقى	ʔa a s a q aː
أسكفة	ʔa a s a k a f a
أسكيدنيا	ʔa a s a k iː d a n iː aː
أسلوب	ʔa a s a l uː b
أسلي	ʔa a s a l iː
أسماء	ʔa a s a m aː ʔ
أسمر	ʔa a s a m a r
أسمرا	ʔa a s a m a r aː
أسمرة	ʔa a s a m a r a
أسهر	ʔa a s a h a r
أسهل	ʔa a s a h a l
أسهل	ʔa a s a h a l
أسهل	ʔa a s a h a l
أسهل	ʔa a s a h a l
أسهل	ʔa a s a h a l
أسهل	ʔa a s a h a l
أسهل	ʔa a s a h a l
أسهل	ʔa a s a h a l
أسهل	ʔa a s a h a l
أسهل	ʔa a s a h a l
أسوأ	ʔa a s uː ʔa
أسوة	ʔa a s uː a
أسود	ʔa a s uː d
أسود	ʔa a s uː d
أسى	ʔa a s aː
أسياخ	ʔa a s iː aː x
أسيتون	ʔa a s iː t uː n
أسير	ʔa a s iː r
أسيف	ʔa a s iː f
أشابة	ʔa a ʃ aː b a
أشار	ʔa a ʃ aː r
أشبع	ʔa a ʃ a b a ʕ
أشترغار	ʔa a ʃ a t a r a ɣ aː r
أشخص	ʔa a ʃ a x a sˤ
أشد	ʔa a ʃ a d
أشد	ʔa a ʃ a d
أشرس	ʔa a ʃ a r a s
أشرفي	ʔa a ʃ a r a f iː
أشعث	ʔa a ʃ a ʕ a θ
أشعل	ʔa a ʃ a ʕ a l
أشعل	ʔa a ʃ a ʕ a l
أشقر	ʔa a ʃ a q a r
أشكال	ʔa a ʃ a k aː l
أشكل	ʔa a ʃ a k a l
أشل	ʔa a ʃ a l
أشل	ʔa a ʃ a l
أشل	ʔa a ʃ a l
أشم	ʔa a ʃ a m
أشم	ʔa a ʃ a m
أشمط	ʔa a ʃ a m a tˤ
أشنان	ʔa a ʃ a n aː n
أشنة	ʔa a ʃ a n a
أشهب	ʔa a ʃ a h a b
أشهد	ʔa a ʃ a h a d
أشهل	ʔa a ʃ a h a l
أشوس	ʔa a ʃ uː s
أشول	ʔa a ʃ uː l
أشوه	ʔa a ʃ uː h
أشيب	ʔa a ʃ iː b
أصأب	ʔa a sˤ a ʔa a b
أصاخ	ʔa a sˤ aː x
أصبح	ʔa a sˤ a b a ħ
أصحاب	ʔa a sˤ a ħ aː b
أصحاح	ʔa a sˤ a ħ aː ħ
أصحى	ʔa a sˤ a ħ aː
أصخد	ʔa a sˤ a x a d
أصخر	ʔa a sˤ a x a r
أصدأ	ʔa a sˤ a d a ʔa
أصطرك	ʔa a sˤ a tˤ a r a k
أصطماخيقون	ʔa a sˤ a tˤ a m aː x iː q uː n
أصطمخيقون	ʔa a sˤ a tˤ a m a x iː q uː n
أصغى	ʔa a sˤ a ɣ aː
أصف	ʔa a sˤ a f
أصفاد	ʔa a sˤ a f aː d
أصفر	ʔa a sˤ a f a r
أصفر	ʔa a sˤ a f a r
أصفهان	ʔa a sˤ a f a h aː n
أصفى	ʔa a sˤ a f aː
أصفى	ʔa a sˤ a f aː
أصل	ʔa a sˤ a l
أصل	ʔa a sˤ a l
أصل	ʔa a sˤ a l
أصلا	ʔa a sˤ a l aː
أصلع	ʔa a sˤ a l a ʕ
أصم	ʔa a sˤ a m
أصهب	ʔa a sˤ a h a b
أصهب	ʔa a sˤ a h a b
أصوات	ʔa a sˤ uː aː t
أصواتي	ʔa a sˤ uː aː t iː
أصيص	ʔa a sˤ iː sˤ
أصيل	ʔa a sˤ iː l
أضاع	ʔa a dˤ aː ʕ
أضاف	ʔa a dˤ aː f
أضبط	ʔa a dˤ a b a tˤ
أضبط	ʔa a dˤ a b a tˤ
أضر	ʔa a dˤ a r
أضفى	ʔa a dˤ a f aː
أضمر	ʔa a dˤ a m a r
أضمر	ʔa a dˤ a m a r
أطاح	ʔa a tˤ aː ħ
أطاق	ʔa a tˤ aː q
أطباء	ʔa a tˤ a b aː ʔ
أطبة	ʔa a tˤ a b a
أطر	ʔa a tˤ a r
أطر	ʔa a tˤ a r
أطراف	ʔa a tˤ a r aː f
أطرش	ʔa a tˤ a r a ʃ
أطروحة	ʔa a tˤ a r uː ħ a
أطعم	ʔa a tˤ a ʕ a m
أطفال	ʔa a tˤ a f aː l
أطل	ʔa a tˤ a l
أطلس	ʔa a tˤ a l a s
أطلسي	ʔa a tˤ a l a s iː
أطلع	ʔa a tˤ a l a ʕ
أطلق	ʔa a tˤ a l a q
أطنب	ʔa a tˤ a n a b
أطيان	ʔa a tˤ iː aː n
أظفور	ʔa a ðˤ a f uː r
أظمأ	ʔa a ðˤ a m a ʔa
أعاجيب	ʔa a ʕ aː d͡ʒ iː b
أعار	ʔa a ʕ aː r
أعاصير	ʔa a ʕ aː sˤ iː r
أعال	ʔa a ʕ aː l
أعتاب	ʔa a ʕ a t aː b
أعتن	ʔa a ʕ a t a n
أعجم	ʔa a ʕ a d͡ʒ a m
أعجمي	ʔa a ʕ a d͡ʒ a m iː
أعجمي	ʔa a ʕ a d͡ʒ a m iː
أعجوبة	ʔa a ʕ a d͡ʒ uː b a
أعذب	ʔa a ʕ a ð a b
أعرج	ʔa a ʕ a r a d͡ʒ
أعرن	ʔa a ʕ a r a n
أعز	ʔa a ʕ a z
أعز	ʔa a ʕ a z
أعزب	ʔa a ʕ a z a b
أعزل	ʔa a ʕ a z a l
أعشى	ʔa a ʕ a ʃ aː
أعصر	ʔa a ʕ a sˤ a r
أعض	ʔa a ʕ a dˤ
أعطاب	ʔa a ʕ a tˤ aː b
أعطب	ʔa a ʕ a tˤ a b
أعطى	ʔa a ʕ a tˤ aː
أعظ	ʔa a ʕ a ðˤ
أعف	ʔa a ʕ a f
أعفر	ʔa a ʕ a f a r
أعقد	ʔa a ʕ a q a d
أعل	ʔa a ʕ a l
أعلن	ʔa a ʕ a l a n
أعلون	ʔa a ʕ a l uː n
أعلى	ʔa a ʕ a l aː
أعلى	ʔa a ʕ a l aː
أعمد	ʔa a ʕ a m a d
أعمدة	ʔa a ʕ a m a d a
أعمى	ʔa a ʕ a m aː
أعمى	ʔa a ʕ a m aː
أعنق	ʔa a ʕ a n a q
أعور	ʔa a ʕ uː r
أعيا	ʔa a ʕ iː aː
أعياد	ʔa a ʕ iː aː d
أعيان	ʔa a ʕ iː aː n
أغاث	ʔa a ɣ aː θ
أغار	ʔa a ɣ aː r
أغاريقون	ʔa a ɣ aː r iː q uː n
أغاظ	ʔa a ɣ aː ðˤ
أغافت	ʔa a ɣ aː f a t
أغافث	ʔa a ɣ aː f a θ
أغبر	ʔa a ɣ a b a r
أغرق	ʔa a ɣ a r a q
أغرم	ʔa a ɣ a r a m
أغرى	ʔa a ɣ a r aː
أغسطس	ʔa a ɣ a s a tˤ a s
أغشت	ʔa a ɣ a ʃ a t
أغضب	ʔa a ɣ a dˤ a b
أغضى	ʔa a ɣ a dˤ aː
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلب	ʔa a ɣ a l a b
أغلبية	ʔa a ɣ a l a b iː a
أغلف	ʔa a ɣ a l a f
أغلفة	ʔa a ɣ a l a f a
أغلى	ʔa a ɣ a l aː
أغماد	ʔa a ɣ a m aː d
أغمي	ʔa a ɣ a m iː
أغنية	ʔa a ɣ a n iː a
أغوى	ʔa a ɣ uː aː
أغيا	ʔa a ɣ iː aː
أغيد	ʔa a ɣ iː d
أفؤل	ʔa a f a ʔu a l
أفاء	ʔa a f aː ʔ
أفاد	ʔa a f aː d
أفاويه	ʔa a f aː uː iː h
أفتى	ʔa a f a t aː
أفتيمون	ʔa a f a t iː m uː n
أفثيمون	ʔa a f a θ iː m uː n
أفرد	ʔa a f a r a d
أفرط	ʔa a f a r a tˤ
أفرع	ʔa a f a r a ʕ
أفرع	ʔa a f a r a ʕ
أفرغ	ʔa a f a r a ɣ
أفرغ	ʔa a f a r a ɣ
أفريقانية	ʔa a f a r iː q aː n iː a
أفريقيا	ʔa a f a r iː q iː aː
أفسس	ʔa a f a s a s
أفسنتين	ʔa a f a s a n a t iː n
أفشرج	ʔa a f a ʃ a r a d͡ʒ
أفشرج	ʔa a f a ʃ a r a d͡ʒ
أفضى	ʔa a f a dˤ aː
أفطس	ʔa a f a tˤ a s
أفظ	ʔa a f a ðˤ
أفعى	ʔa a f a ʕ aː
أفغانستان	ʔa a f a ɣ aː n a s a t aː n
أفغاني	ʔa a f a ɣ aː n iː
أفقي	ʔa a f a q iː
أفك	ʔa a f a k
أفل	ʔa a f a l
أفلاطون	ʔa a f a l aː tˤ uː n
أفلاطون	ʔa a f a l aː tˤ uː n
أفلاطوني	ʔa a f a l aː tˤ uː n iː
أفلس	ʔa a f a l a s
أفول	ʔa a f uː l
أفيتمون	ʔa a f iː t a m uː n
أفيتيمون	ʔa a f iː t iː m uː n
أفيثمون	ʔa a f iː θ a m uː n
أفيثيمون	ʔa a f iː θ iː m uː n
أفيون	ʔa a f iː uː n
أقحم	ʔa a q a ħ a m
أقحوان	ʔa a q a ħ uː aː n
أقدر	ʔa a q a d a r
أقر	ʔa a q a r
أقر	ʔa a q a r
أقرأ	ʔa a q a r a ʔa
أقران	ʔa a q a r aː n
أقرب	ʔa a q a r a b
أقرب	ʔa a q a r a b
أقرباء	ʔa a q a r a b aː ʔ
أقرع	ʔa a q a r a ʕ
أقضب	ʔa a q a dˤ a b
أقضى	ʔa a q a dˤ aː
أقضى	ʔa a q a dˤ aː
أقط	ʔa a q a tˤ
أقط	ʔa a q a tˤ
أقعب	ʔa a q a ʕ a b
أقلف	ʔa a q a l a f
أقلية	ʔa a q a l iː a
أقنث	ʔa a q a n a θ
أقنثا	ʔa a q a n a θ aː
أقنع	ʔa a q a n a ʕ
أك	ʔa a k
أكادير	ʔa a k aː d iː r
أكاديمي	ʔa a k aː d iː m iː
أكاديمية	ʔa a k aː d iː m iː a
أكاذيب	ʔa a k aː ð iː b
أكار	ʔa a k aː r
أكاف	ʔa a k aː f
أكاف	ʔa a k aː f
أكال	ʔa a k aː l
أكب	ʔa a k a b
أكتوبر	ʔa a k a t uː b a r
أكتوبر	ʔa a k a t uː b a r
أكتوبر	ʔa a k a t uː b a r
أكتوبر	ʔa a k a t uː b a r
أكثرية	ʔa a k a θ a r iː a
أكدر	ʔa a k a d a r
أكرمي	ʔa a k a r a m iː
أكره	ʔa a k a r a h
أكرى	ʔa a k a r aː
أكسجين	ʔa a k a s a d͡ʒ iː n
أكسح	ʔa a k a s a ħ
أكسد	ʔa a k a s a d
أكسدة	ʔa a k a s a d a
أكسيد	ʔa a k a s iː d
أكشف	ʔa a k a ʃ a f
أكل	ʔa a k a l
أكل	ʔa a k a l
أكل	ʔa a k a l
أكل	ʔa a k a l
أكل	ʔa a k a l
أكل	ʔa a k a l
أكمة	ʔa a k a m a
أكمون	ʔa a k a m uː n
أكو	ʔa a k uː
أكيد	ʔa a k iː d
ألا	ʔa a l aː
ألا	ʔa a l aː
ألاباما	ʔa a l aː b aː m aː
ألاسكا	ʔa a l aː s a k aː
ألباني	ʔa a l a b aː n iː
ألبانيا	ʔa a l a b aː n iː aː
ألبسة	ʔa a l a b a s a
ألتائي	ʔa a l a t aː ʔi iː
ألتاي	ʔa a l a t aː iː
ألح	ʔa a l a ħ
ألحد	ʔa a l a ħ a d
ألغاز	ʔa a l a ɣ aː z
ألغى	ʔa a l a ɣ aː
ألف	ʔa a l a f
ألفبائي	ʔa a l a f a b aː ʔi iː
ألفية	ʔa a l a f iː a
ألفين	ʔa a l a f iː n
ألفين	ʔa a l a f iː n
ألقى	ʔa a l a q aː
ألكسندروس	ʔa a l a k a s a n a d a r uː s
ألم	ʔa a l a m
ألماتي	ʔa a l a m aː t iː
ألماس	ʔa a l a m aː s
ألماني	ʔa a l a m aː n iː
ألمانيا	ʔa a l a m aː n iː aː
ألمح	ʔa a l a m a ħ
ألنجج	ʔa a l a n a d͡ʒ a d͡ʒ
ألنجوج	ʔa a l a n a d͡ʒ uː d͡ʒ
أله	ʔa a l a h
ألهى	ʔa a l a h aː
ألوان	ʔa a l uː aː n
ألوة	ʔa a l uː a
ألوة	ʔa a l uː a
ألوهية	ʔa a l uː h iː a
ألية	ʔa a l iː a
ألية	ʔa a l iː a
