ء	ʔ
أدب	ʔ a d b
أدب	ʔ a d b
أدبة	ʔ a d b a
أدبي	ʔ a d b iː
أدبي	ʔ a d b iː
أدبيا	ʔ a d b i aː
أدبيات	ʔ a d b i aː t
أدجى	ʔ a d dʒ aː
أدحوة	ʔ a d ħ u a
أدحية	ʔ a d ħ i a
أدحية	ʔ a d ħ i a
أدرك	ʔ a d r k
أدرنة	ʔ a d r n a
أدكن	ʔ a d k n
أدلة	ʔ a d l a
أدلج	ʔ a d l dʒ
أدمن	ʔ a d m n
أدهش	ʔ a d h ʃ
أدهش	ʔ a d h ʃ
أدهش	ʔ a d h ʃ
أدهش	ʔ a d h ʃ
أدهش	ʔ a d h ʃ
أدهش	ʔ a d h ʃ
أدهش	ʔ a d h ʃ
أدهش	ʔ a d h ʃ
أدهم	ʔ a d h m
أدوية	ʔ a d u j a
أدى	ʔ a d aː
أديب	ʔ a d i b
أديبة	ʔ a d i b a
أذاع	ʔ a ð aː ʕ
أذانة	ʔ a ð aː n a
أذر	ʔ a ð r
أذربيجان	ʔ a ð r b i dʒ aː n
أذربيجان	ʔ a ð r b i dʒ aː n
أذربيجاني	ʔ a ð r b i dʒ aː n iː
أذربيجانية	ʔ a ð r b i dʒ aː n i a
أذري	ʔ a ð r iː
أذرية	ʔ a ð r i a
أذعن	ʔ a ð ʕ n
أذن	ʔ a ð n
أذن	ʔ a ð n
أذن	ʔ a ð n
أذن	ʔ a ð n
أذن	ʔ a ð n
أذن	ʔ a ð n
أذى	ʔ a ð aː
أذية	ʔ a ð i a
أراد	ʔ a r aː d
أربعة	ʔ a r b ʕ a
أربعة	ʔ a r b ʕ a
أربعون	ʔ a r b ʕ u n
أربيل	ʔ a r b i l
أرثوذكس	ʔ a r θ u ð k s
أرثوذكسي	ʔ a r θ u ð k s iː
أرثوذكسية	ʔ a r θ u ð k s i a
أرجأ	ʔ a r dʒ ʔ a
أرجان	ʔ a r dʒ aː n
أرجواني	ʔ a r dʒ u aː n iː
أرجواني	ʔ a r dʒ u aː n iː
أرجونة	ʔ a r dʒ u n a
أرجيش	ʔ a r dʒ i ʃ
أرح	ʔ a r ħ
أرخ	ʔ a r x
أرخبيل	ʔ a r x b i l
أردف	ʔ a r d f
أردمون	ʔ a r d m u n
أردني	ʔ a r d n iː
أردني	ʔ a r d n iː
أردى	ʔ a r d aː
أرز	ʔ a r z
أرز	ʔ a r z
أرز	ʔ a r z
أرز	ʔ a r z
أرستقراطي	ʔ a r s t q r aː tˤ iː
أرستقراطية	ʔ a r s t q r aː tˤ i a
أرسطو	ʔ a r s tˤ uː
أرسطوطاليس	ʔ a r s tˤ u tˤ aː l i s
أرسل	ʔ a r s l
أرشذونة	ʔ a r ʃ ð u n a
أرشيدوق	ʔ a r ʃ i d u q
أرشيدوقة	ʔ a r ʃ i d u q a
أرشيدوقية	ʔ a r ʃ i d u q i a
أرصفة	ʔ a r sˤ f a
أرض	ʔ a r dˤ
أرضة	ʔ a r dˤ a
أرضي	ʔ a r dˤ iː
أرضية	ʔ a r dˤ i a
أرعب	ʔ a r ʕ b
أرغان	ʔ a r ɣ aː n
أرغفة	ʔ a r ɣ f a
أرقان	ʔ a r q aː n
أرقان	ʔ a r q aː n
أركان	ʔ a r k aː n
أركش	ʔ a r k ʃ
أركن	ʔ a r k n
أركنساس	ʔ a r k n s aː s
أركون	ʔ a r k u n
أرم	ʔ a r m
أرم	ʔ a r m
أرمل	ʔ a r m l
أرمل	ʔ a r m l
أرملة	ʔ a r m l a
أرمن	ʔ a r m n
أرمية	ʔ a r m i a
أرمية	ʔ a r m i a
أرمينيا	ʔ a r m i n i aː
أرنؤدي	ʔ a r n ʔ u d iː
أرنب	ʔ a r n b
أرنيط	ʔ a r n i tˤ
أرهب	ʔ a r h b
أرهق	ʔ a r h q
أرواح	ʔ a r u aː ħ
أروفى	ʔ a r u f aː
أرومة	ʔ a r u m a
أرومة	ʔ a r u m a
أرومية	ʔ a r u m i a
أريج	ʔ a r i dʒ
أريحا	ʔ a r i ħ aː
أريزونا	ʔ a r i z u n aː
أريكا	ʔ a r i k aː
أريكة	ʔ a r i k a
أزأم	ʔ a z ʔ a m
أزاح	ʔ a z aː ħ
أزادرخت	ʔ a z aː d r x t
أزب	ʔ a z b
أزدرخت	ʔ a z d r x t
أزرع	ʔ a z r ʕ
أزرق	ʔ a z r q
أزعج	ʔ a z ʕ dʒ
أزعر	ʔ a z ʕ r
أزعل	ʔ a z ʕ l
أزل	ʔ a z l
أزل	ʔ a z l
أزلي	ʔ a z l iː
أسارون	ʔ a s aː r u n
أساس	ʔ a s aː s
أساسا	ʔ a s aː s aː
أساسي	ʔ a s aː s iː
أساسيا	ʔ a s aː s i aː
أسامة	ʔ a s aː m a
أسباب	ʔ a s b aː b
أسباط	ʔ a s b aː tˤ
أسبوع	ʔ a s b u ʕ
أسبوعي	ʔ a s b u ʕ iː
أستاذ	ʔ a s t aː ð
أستاذ	ʔ a s t aː ð
أستاذ	ʔ a s t aː ð
أستانا	ʔ a s t aː n aː
أستجة	ʔ a s t dʒ a
أسترالي	ʔ a s t r aː l iː
أستراليا	ʔ a s t r aː l i aː
أسترقة	ʔ a s t r q a
أستير	ʔ a s t i r
أسد	ʔ a s d
أسرب	ʔ a s r b
أسرة	ʔ a s r a
أسرة	ʔ a s r a
أسري	ʔ a s r iː
أسس	ʔ a s s
أسطرك	ʔ a s tˤ r k
أسطرلاب	ʔ a s tˤ r l aː b
أسطمة	ʔ a s tˤ m a
أسطوانة	ʔ a s tˤ u aː n a
أسطوخودس	ʔ a s tˤ u x u d s
أسطوخودوس	ʔ a s tˤ u x u d u s
أسطورة	ʔ a s tˤ u r a
أسطوري	ʔ a s tˤ u r iː
أسطول	ʔ a s tˤ u l
أسف	ʔ a s f
أسف	ʔ a s f
أسفاراج	ʔ a s f aː r aː dʒ
أسفر	ʔ a s f r
أسفراج	ʔ a s f r aː dʒ
أسفع	ʔ a s f ʕ
أسفلت	ʔ a s f l t
أسفنيك	ʔ a s f n i k
أسقف	ʔ a s q f
أسقف	ʔ a s q f
أسقف	ʔ a s q f
أسقف	ʔ a s q f
أسقى	ʔ a s q aː
أسكفة	ʔ a s k f a
أسكيدنيا	ʔ a s k i d n i aː
أسلوب	ʔ a s l u b
أسلي	ʔ a s l iː
أسماء	ʔ a s m aː ʔ
أسمر	ʔ a s m r
أسمرا	ʔ a s m r aː
أسمرة	ʔ a s m r a
أسهر	ʔ a s h r
أسهل	ʔ a s h l
أسهل	ʔ a s h l
أسهل	ʔ a s h l
أسهل	ʔ a s h l
أسهل	ʔ a s h l
أسهل	ʔ a s h l
أسهل	ʔ a s h l
أسهل	ʔ a s h l
أسهل	ʔ a s h l
أسهل	ʔ a s h l
أسوأ	ʔ a s u ʔ a
أسوة	ʔ a s u a
أسود	ʔ a s u d
أسود	ʔ a s u d
أسى	ʔ a s aː
أسياخ	ʔ a s i aː x
أسيتون	ʔ a s i t u n
أسير	ʔ a s i r
أسيف	ʔ a s i f
أشابة	ʔ a ʃ aː b a
أشار	ʔ a ʃ aː r
أشبع	ʔ a ʃ b ʕ
أشترغار	ʔ a ʃ t r ɣ aː r
أشخص	ʔ a ʃ x sˤ
أشد	ʔ a ʃ d
أشد	ʔ a ʃ d
أشرس	ʔ a ʃ r s
أشرفي	ʔ a ʃ r f iː
أشعث	ʔ a ʃ ʕ θ
أشعل	ʔ a ʃ ʕ l
أشعل	ʔ a ʃ ʕ l
أشقر	ʔ a ʃ q r
أشكال	ʔ a ʃ k aː l
أشكل	ʔ a ʃ k l
أشل	ʔ a ʃ l
أشل	ʔ a ʃ l
أشل	ʔ a ʃ l
أشم	ʔ a ʃ m
أشم	ʔ a ʃ m
أشمط	ʔ a ʃ m tˤ
أشنان	ʔ a ʃ n aː n
أشنة	ʔ a ʃ n a
أشهب	ʔ a ʃ h b
أشهد	ʔ a ʃ h d
أشهل	ʔ a ʃ h l
أشوس	ʔ a ʃ u s
أشول	ʔ a ʃ u l
أشوه	ʔ a ʃ u h
أشيب	ʔ a ʃ i b
أصأب	ʔ a sˤ ʔ a b
أصاخ	ʔ a sˤ aː x
أصبح	ʔ a sˤ b ħ
أصحاب	ʔ a sˤ ħ aː b
أصحاح	ʔ a sˤ ħ aː ħ
أصحى	ʔ a sˤ ħ aː
أصخد	ʔ a sˤ x d
أصخر	ʔ a sˤ x r
أصدأ	ʔ a sˤ d ʔ a
أصطرك	ʔ a sˤ tˤ r k
أصطماخيقون	ʔ a sˤ tˤ m aː x i q u n
أصطمخيقون	ʔ a sˤ tˤ m x i q u n
أصغى	ʔ a sˤ ɣ aː
أصف	ʔ a sˤ f
أصفاد	ʔ a sˤ f aː d
أصفر	ʔ a sˤ f r
أصفر	ʔ a sˤ f r
أصفهان	ʔ a sˤ f h aː n
أصفى	ʔ a sˤ f aː
أصفى	ʔ a sˤ f aː
أصل	ʔ a sˤ l
أصل	ʔ a sˤ l
أصل	ʔ a sˤ l
أصلا	ʔ a sˤ l aː
أصلع	ʔ a sˤ l ʕ
أصم	ʔ a sˤ m
أصهب	ʔ a sˤ h b
أصهب	ʔ a sˤ h b
أصوات	ʔ a sˤ u aː t
أصواتي	ʔ a sˤ u aː t iː
أصيص	ʔ a sˤ i sˤ
أصيل	ʔ a sˤ i l
أضاع	ʔ a dˤ aː ʕ
أضاف	ʔ a dˤ aː f
أضبط	ʔ a dˤ b tˤ
أضبط	ʔ a dˤ b tˤ
أضر	ʔ a dˤ r
أضفى	ʔ a dˤ f aː
أضمر	ʔ a dˤ m r
أضمر	ʔ a dˤ m r
أطاح	ʔ a tˤ aː ħ
أطاق	ʔ a tˤ aː q
أطباء	ʔ a tˤ b aː ʔ
أطبة	ʔ a tˤ b a
أطر	ʔ a tˤ r
أطر	ʔ a tˤ r
أطراف	ʔ a tˤ r aː f
أطرش	ʔ a tˤ r ʃ
أطروحة	ʔ a tˤ r u ħ a
أطعم	ʔ a tˤ ʕ m
أطفال	ʔ a tˤ f aː l
أطل	ʔ a tˤ l
أطلس	ʔ a tˤ l s
أطلسي	ʔ a tˤ l s iː
أطلع	ʔ a tˤ l ʕ
أطلق	ʔ a tˤ l q
أطنب	ʔ a tˤ n b
أطيان	ʔ a tˤ i aː n
أظفور	ʔ a ðˤ f u r
أظمأ	ʔ a ðˤ m ʔ a
أعاجيب	ʔ a ʕ aː dʒ i b
أعار	ʔ a ʕ aː r
أعاصير	ʔ a ʕ aː sˤ i r
أعال	ʔ a ʕ aː l
أعتاب	ʔ a ʕ t aː b
أعتن	ʔ a ʕ t n
أعجم	ʔ a ʕ dʒ m
أعجمي	ʔ a ʕ dʒ m iː
أعجمي	ʔ a ʕ dʒ m iː
أعجوبة	ʔ a ʕ dʒ u b a
أعذب	ʔ a ʕ ð b
أعرج	ʔ a ʕ r dʒ
أعرن	ʔ a ʕ r n
أعز	ʔ a ʕ z
أعز	ʔ a ʕ z
أعزب	ʔ a ʕ z b
أعزل	ʔ a ʕ z l
أعشى	ʔ a ʕ ʃ aː
أعصر	ʔ a ʕ sˤ r
أعض	ʔ a ʕ dˤ
أعطاب	ʔ a ʕ tˤ aː b
أعطب	ʔ a ʕ tˤ b
أعطى	ʔ a ʕ tˤ aː
أعظ	ʔ a ʕ ðˤ
أعف	ʔ a ʕ f
أعفر	ʔ a ʕ f r
أعقد	ʔ a ʕ q d
أعل	ʔ a ʕ l
أعلن	ʔ a ʕ l n
أعلون	ʔ a ʕ l u n
أعلى	ʔ a ʕ l aː
أعلى	ʔ a ʕ l aː
أعمد	ʔ a ʕ m d
أعمدة	ʔ a ʕ m d a
أعمى	ʔ a ʕ m aː
أعمى	ʔ a ʕ m aː
أعنق	ʔ a ʕ n q
أعور	ʔ a ʕ u r
أعيا	ʔ a ʕ i aː
أعياد	ʔ a ʕ i aː d
أعيان	ʔ a ʕ i aː n
أغاث	ʔ a ɣ aː θ
أغار	ʔ a ɣ aː r
أغاريقون	ʔ a ɣ aː r i q u n
أغاظ	ʔ a ɣ aː ðˤ
أغافت	ʔ a ɣ aː f t
أغافث	ʔ a ɣ aː f θ
أغبر	ʔ a ɣ b r
أغرق	ʔ a ɣ r q
أغرم	ʔ a ɣ r m
أغرى	ʔ a ɣ r aː
أغسطس	ʔ a ɣ s tˤ s
أغشت	ʔ a ɣ ʃ t
أغضب	ʔ a ɣ dˤ b
أغضى	ʔ a ɣ dˤ aː
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلب	ʔ a ɣ l b
أغلبية	ʔ a ɣ l b i a
أغلف	ʔ a ɣ l f
أغلفة	ʔ a ɣ l f a
أغلى	ʔ a ɣ l aː
أغماد	ʔ a ɣ m aː d
أغمي	ʔ a ɣ m iː
أغنية	ʔ a ɣ n i a
أغوى	ʔ a ɣ u aː
أغيا	ʔ a ɣ i aː
أغيد	ʔ a ɣ i d
أفؤل	ʔ a f ʔ u l
أفاء	ʔ a f aː ʔ
أفاد	ʔ a f aː d
أفاويه	ʔ a f aː w j h
أفتى	ʔ a f t aː
أفتيمون	ʔ a f t i m u n
أفثيمون	ʔ a f θ i m u n
أفرد	ʔ a f r d
أفرط	ʔ a f r tˤ
أفرع	ʔ a f r ʕ
أفرع	ʔ a f r ʕ
أفرغ	ʔ a f r ɣ
أفرغ	ʔ a f r ɣ
أفريقانية	ʔ a f r i q aː n i a
أفريقيا	ʔ a f r i q i aː
أفسس	ʔ a f s s
أفسنتين	ʔ a f s n t i n
أفشرج	ʔ a f ʃ r dʒ
أفشرج	ʔ a f ʃ r dʒ
أفضى	ʔ a f dˤ aː
أفطس	ʔ a f tˤ s
أفظ	ʔ a f ðˤ
أفعى	ʔ a f ʕ aː
أفغانستان	ʔ a f ɣ aː n s t aː n
أفغاني	ʔ a f ɣ aː n iː
أفقي	ʔ a f q iː
أفك	ʔ a f k
أفل	ʔ a f l
أفلاطون	ʔ a f l aː tˤ u n
أفلاطون	ʔ a f l aː tˤ u n
أفلاطوني	ʔ a f l aː tˤ u n iː
أفلس	ʔ a f l s
أفول	ʔ a f u l
أفيتمون	ʔ a f i t m u n
أفيتيمون	ʔ a f i t i m u n
أفيثمون	ʔ a f i θ m u n
أفيثيمون	ʔ a f i θ i m u n
أفيون	ʔ a f i w n
أقحم	ʔ a q ħ m
أقحوان	ʔ a q ħ u aː n
أقدر	ʔ a q d r
أقر	ʔ a q r
أقر	ʔ a q r
أقرأ	ʔ a q r ʔ a
أقران	ʔ a q r aː n
أقرب	ʔ a q r b
أقرب	ʔ a q r b
أقرباء	ʔ a q r b aː ʔ
أقرع	ʔ a q r ʕ
أقضب	ʔ a q dˤ b
أقضى	ʔ a q dˤ aː
أقضى	ʔ a q dˤ aː
أقط	ʔ a q tˤ
أقط	ʔ a q tˤ
أقعب	ʔ a q ʕ b
أقلف	ʔ a q l f
أقلية	ʔ a q l i a
أقنث	ʔ a q n θ
أقنثا	ʔ a q n θ aː
أقنع	ʔ a q n ʕ
أك	ʔ a k
أكادير	ʔ a k aː d i r
أكاديمي	ʔ a k aː d i m iː
أكاديمية	ʔ a k aː d i m i a
أكاذيب	ʔ a k aː ð i b
أكار	ʔ a k aː r
أكاف	ʔ a k aː f
أكاف	ʔ a k aː f
أكال	ʔ a k aː l
أكب	ʔ a k b
أكتوبر	ʔ a k t u b r
أكتوبر	ʔ a k t u b r
أكتوبر	ʔ a k t u b r
أكتوبر	ʔ a k t u b r
أكثرية	ʔ a k θ r i a
أكدر	ʔ a k d r
أكرمي	ʔ a k r m iː
أكره	ʔ a k r h
أكرى	ʔ a k r aː
أكسجين	ʔ a k s dʒ i n
أكسح	ʔ a k s ħ
أكسد	ʔ a k s d
أكسدة	ʔ a k s d a
أكسيد	ʔ a k s i d
أكشف	ʔ a k ʃ f
أكل	ʔ a k l
أكل	ʔ a k l
أكل	ʔ a k l
أكل	ʔ a k l
أكل	ʔ a k l
أكل	ʔ a k l
أكمة	ʔ a k m a
أكمون	ʔ a k m u n
أكو	ʔ a k uː
أكيد	ʔ a k i d
ألا	ʔ a l aː
ألا	ʔ a l aː
ألاباما	ʔ a l aː b aː m aː
ألاسكا	ʔ a l aː s k aː
ألباني	ʔ a l b aː n iː
ألبانيا	ʔ a l b aː n i aː
ألبسة	ʔ a l b s a
ألتائي	ʔ a l t aː ʔ i iː
ألتاي	ʔ a l t aː iː
ألح	ʔ a l ħ
ألحد	ʔ a l ħ d
ألغاز	ʔ a l ɣ aː z
ألغى	ʔ a l ɣ aː
ألف	ʔ a l f
ألفبائي	ʔ a l f b aː ʔ i iː
ألفية	ʔ a l f i a
ألفين	ʔ a l f i n
ألفين	ʔ a l f i n
ألقى	ʔ a l q aː
ألكسندروس	ʔ a l k s n d r u s
ألم	ʔ a l m
ألماتي	ʔ a l m aː t iː
ألماس	ʔ a l m aː s
ألماني	ʔ a l m aː n iː
ألمانيا	ʔ a l m aː n i aː
ألمح	ʔ a l m ħ
ألنجج	ʔ a l n dʒ dʒ
ألنجوج	ʔ a l n dʒ u dʒ
أله	ʔ a l h
ألهى	ʔ a l h aː
ألوان	ʔ a l u aː n
ألوة	ʔ a l u a
ألوة	ʔ a l u a
ألوهية	ʔ a l u h i a
ألية	ʔ a l i a
ألية	ʔ a l i a
أليس	ʔ a l i s
أليس	ʔ a l i s
أليف	ʔ a l i f
أم	ʔ a m
أم	ʔ a m
أم	ʔ a m
أما	ʔ a m aː
أما	ʔ a m aː
أمات	ʔ a m aː t
أمازيغ	ʔ a m aː z i ɣ
أمازيغي	ʔ a m aː z i ɣ iː
أمازيغية	ʔ a m aː z i ɣ i a
أمال	ʔ a m aː l
أمام	ʔ a m aː m
أمامي	ʔ a m aː m iː
أمان	ʔ a m aː n
أمانة	ʔ a m aː n a
أمدمي	ʔ a m d m iː
أمذريان	ʔ a m ð r i aː n
أمراء	ʔ a m r aː ʔ
أمريكا	ʔ a m r i k aː
أمريكة	ʔ a m r i k a
أمريكي	ʔ a m r i k iː
أمس	ʔ a m s
أمس	ʔ a m s
أمس	ʔ a m s
أمس	ʔ a m s
أمس	ʔ a m s
أمس	ʔ a m s
أمس	ʔ a m s
أمس	ʔ a m s
أمستردام	ʔ a m s t r d aː m
أمسك	ʔ a m s k
أمسوخ	ʔ a m s u x
أمسوخ	ʔ a m s u x
أمصوخ	ʔ a m sˤ u x
أمصوخ	ʔ a m sˤ u x
أمضى	ʔ a m dˤ aː
أمغر	ʔ a m ɣ r
أمغر	ʔ a m ɣ r
أمكن	ʔ a m k n
أملج	ʔ a m l dʒ
أملس	ʔ a m l s
أممي	ʔ a m m iː
أممي	ʔ a m m iː
أمنى	ʔ a m n aː
أمهري	ʔ a m h r iː
أمهل	ʔ a m h l
أمومة	ʔ a m u m a
أموي	ʔ a m u iː
أمي	ʔ a m iː
أمي	ʔ a m iː
أميبا	ʔ a m i b aː
أميبي	ʔ a m i b iː
أمير	ʔ a m i r
أميرة	ʔ a m i r a
أميركي	ʔ a m i r k iː
أميل	ʔ a m i l
أمينة	ʔ a m i n a
أن	ʔ a n
أن	ʔ a n
أن	ʔ a n
أنأى	ʔ a n ʔ a aː
أنا	ʔ a n aː
أنا	ʔ a n aː
أناء	ʔ a n aː ʔ
أناخ	ʔ a n aː x
أناس	ʔ a n aː s
أناغالس	ʔ a n aː ɣ aː l s
أناغاليس	ʔ a n aː ɣ aː l i s
أناغلس	ʔ a n aː ɣ l s
أناقة	ʔ a n aː q a
أناني	ʔ a n aː n iː
